appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
7048,Elisa: the Innkeeper,2017-03-28,1,Neoclassic Games,Neoclassic Games,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Casual,Adventure;Casual;Visual Novel,19,70,25,0,0,0-20000,3.99
7049,Elisa: The Innkeeper - Prequel,2016-06-14,1,Neoclassic Games,Neoclassic Games,windows,0,Single-player;Steam Achievements,Adventure;Casual;Free to Play;Indie,Free to Play;Visual Novel;Anime,11,521,146,23,23,100000-200000,0.0
7050,Elise the Devil,2017-11-01,1,Dieselmine,Paradise Project,windows,0,Single-player;Steam Trading Cards;Steam Cloud,Adventure;Indie;RPG,Sexual Content;Nudity;RPG,0,1123,96,139,139,100000-200000,1.59
7051,Elite Archery,2018-11-29,1,RewindApp,RewindApp,windows,0,Single-player,Action;Adventure;Casual;Indie;Strategy,Indie;Casual;Adventure,0,2,1,0,0,0-20000,0.79
7052,Elite Dangerous,2015-04-02,1,Frontier Developments,Frontier Developments,windows,0,Single-player;Multi-player;MMO;Co-op;VR Support;Partial Controller Support,Action;Adventure;Massively Multiplayer;RPG;Simulation;Strategy,Space Sim;Space;Open World,0,26143,11006,4545,2579,1000000-2000000,19.99
7053,Elite vs. Freedom,2016-05-31,1,AVE,AVE,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support;Steam Cloud;Steam Leaderboards,Violent;Action;Indie,Action;Indie;Violent,33,26,46,0,0,0-20000,3.99
7054,Elite Warriors: Vietnam,2017-02-02,1,N-Fusion Interactive,Retroism,windows,0,Single-player,Action,Action,0,8,4,0,0,0-20000,6.99
7055,Elium - Prison Escape,2018-02-28,1,Lone Artisan Games,Lone Artisan Games,windows,0,Single-player;Steam Achievements;Steam Cloud;Steam Leaderboards,Action;Indie;RPG,Indie;Violent;Action,21,23,11,0,0,0-20000,9.29
7056,Elixir of Immortality II: The League of Immortality,2018-05-18,1,First Violin Games,First Violin Games,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Casual,Adventure;Casual;Puzzle,11,1,0,0,0,0-20000,7.19
7057,Elizabeth Find M.D. - Diagnosis Mystery - Season 2,2011-06-09,1,"Gunnar Games, Inc.",ValuSoft,windows;mac,0,Single-player,Casual,Casual;Hidden Object,0,16,13,0,0,0-20000,14.99
7058,Ellen,2019-02-15,1,Red Mount Media Intl;Antarsoft,Red Mount Media Intl,windows,0,Single-player;Steam Achievements,Indie,Indie;Gore;Violent,16,13,2,0,0,0-20000,7.19
7059,Ellen and the Degenerates RPG,2019-02-07,1,John Shields;Humdinger Games,Humdinger Games,windows;mac,0,Single-player;Captions available;Partial Controller Support,Action;Adventure;Casual;Free to Play;Indie;RPG;Strategy,Free to Play;Casual;Action,0,11,7,0,0,0-20000,0.0
7060,Elleros Origins: Season I,2019-02-21,1,Rampage Games,Rampage Games,windows,0,Single-player;Steam Achievements;Includes level editor,RPG;Early Access,Early Access;RPG,6,18,9,0,0,0-20000,15.49
7061,Elliot Quest,2014-11-10,1,Ansimuz Games,PlayEveryWare,windows,0,Single-player;Steam Achievements;Full controller support;Captions available;Steam Cloud,Action;Adventure;Indie;RPG,Action;Adventure;Indie,22,113,37,163,163,20000-50000,7.19
7062,Ellipsis,2017-01-25,1,Salmi Games,Salmi Games,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Steam Leaderboards;Includes level editor,Action;Indie,Action;Indie;Touch-Friendly,19,168,5,296,296,50000-100000,7.19
7063,Elly The Jelly,2017-08-03,1,Seize Studios,Seize Studios,windows;mac,0,Multi-player;Local Multi-Player;Shared/Split Screen;Cross-Platform Multiplayer;Partial Controller Support,Action;Indie;Early Access,Early Access;Action;Indie,0,1,2,0,0,0-20000,0.79
7064,ELMIA,2017-12-07,1,AECRNIA,AnelaGamesStudio,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Action;Casual;Indie,Action;Casual;Indie,31,60,13,0,0,0-20000,7.19
7065,Elminage Gothic,2014-09-18,1,Starfish-SD Inc,Ghostlight LTD,windows,0,Single-player;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action;Adventure;RPG;Strategy,RPG;Dungeon Crawler;Adventure,0,87,54,0,0,0-20000,6.99
7066,Elminage ORIGINAL - Priestess of Darkness and The Ring of the Gods,2017-11-28,1,Starfish-SD Inc;mebius,D3 PUBLISHER,windows,0,Single-player;Steam Trading Cards;Partial Controller Support,RPG,RPG;Dungeon Crawler;Turn-Based,0,24,4,0,0,0-20000,7.19
7067,Elo Hell,2018-08-08,1,Exato Game Studios,Exato Game Studios,windows,0,Single-player;Online Multi-Player;Steam Cloud,Action;Adventure;Indie;Strategy;Early Access,Early Access;Strategy;Action,0,3,2,0,0,0-20000,15.49
7068,Elon Must - Road to Respect,2019-04-18,1,Ruskija Game Experience,Tero Lunkka,windows,0,Single-player;Steam Achievements,Action;Adventure;Indie,Action;Indie;Adventure,6,15,1,0,0,0-20000,0.79
7069,Else Heart.Break(),2015-09-24,1,"Erik Svedäng;El Huervo / Niklas Åkerblad;Tobias Sjögren;Oscar ""Ratvader"" Rydelius;Johannes Gotlén",Erik Svedäng AB,windows;mac;linux,0,Single-player,Adventure;Indie;RPG,Adventure;Indie;Programming,0,356,173,0,0,200000-500000,18.99
7070,Elsewhere High: Chapter 1 - A Visual Novel,2017-03-31,1,Horizon Studio,Horizon Studio,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Captions available,Adventure;Free to Play,Free to Play;Adventure;Visual Novel,11,37,17,0,0,20000-50000,0.0
7071,Elsword,2014-07-02,1,KOG,KOG Games,windows,0,Single-player;Multi-player;MMO;Co-op,Action;Adventure;Casual;Free to Play;Massively Multiplayer;RPG,Free to Play;Anime;RPG,0,4755,1511,796,54,1000000-2000000,0.0
7072,Elude,2018-04-06,1,Rock Interactive,Rock Interactive,windows;mac,0,Single-player;Steam Achievements;Partial Controller Support,Action;Casual;Indie,Action;Indie;Casual,8,10,1,0,0,0-20000,0.79
7073,Elven Assassin,2016-09-10,1,Wenkly Studio Sp. z o.o.,Wenkly Studio Sp. z o.o.,windows,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Stats;Steam Leaderboards,Action;Adventure;Indie;Simulation;Early Access,Early Access;Action;Simulation,21,257,35,15,15,0-20000,11.39
7074,Elven Legacy,2009-04-07,1,1C:InoCo,1C Entertainment,windows,0,Single-player;Multi-player;Steam Cloud;Includes level editor,RPG;Strategy,Strategy;RPG;Turn-Based Strategy,0,76,29,27,27,50000-100000,3.99
7075,Elven Legacy: Magic,2009-12-03,1,1C:InoCo,1C Entertainment,windows,0,Single-player;Steam Cloud,Strategy,Strategy,0,8,3,0,0,20000-50000,1.59
7076,Elven Legacy: Ranger,2009-10-20,1,1C:InoCo,1C Entertainment,windows,0,Single-player;Steam Cloud,Strategy,Strategy,0,9,2,0,0,20000-50000,1.59
7077,Elven Legacy: Siege,2009-11-17,1,1C:InoCo,1C Entertainment,windows,0,Single-player;Steam Cloud,Strategy,Strategy,0,4,3,0,0,50000-100000,1.59
7078,Elven Legend,2017-03-08,1,Growing Grass Studio,Growing Grass Studio,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Casual;Indie;Strategy,Casual;Strategy;Indie,31,18,4,0,0,0-20000,1.59
7079,Elven Legend 2: The Bewitched Tree,2017-05-12,1,Growing Grass Studio,Growing Grass Studio,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Casual;Indie;Strategy,Strategy;Indie;Casual,28,8,3,0,0,0-20000,1.59
7080,Elven Love,2018-03-16,1,Red Vibe Studio,Red Vibe Studio,windows,0,Single-player,Adventure;Casual;Indie;Simulation,Sexual Content;Nudity;VR,0,53,35,0,0,0-20000,11.39
7081,Elves Adventure,2016-08-01,1,Patryk Taranek,Patryk Taranek,windows,0,Single-player;Steam Trading Cards,Action;Adventure,Adventure;Action;FPS,0,40,105,275,283,50000-100000,1.99
7082,Elves vs Goblins Defender,2016-10-27,1,magnussoft,magnussoft,windows,0,Single-player;Steam Cloud,Casual;Strategy,Strategy;Casual,0,1,1,0,0,0-20000,6.99
7083,Elysium: Blood Games,2016-01-05,1,SimProse Studios,SimProse Studios,windows,0,Single-player;Steam Trading Cards,Casual;Indie;Simulation;Sports;Strategy,Sports;Indie;Casual,0,51,25,225,239,50000-100000,1.59
7084,EM: Shader Attack,2016-09-29,1,Life Jumb DT,Dagestan Technology,windows,0,Single-player,Indie,Indie;Arcade;Action,0,141,30,231,252,100000-200000,3.19
7085,Embark,2019-04-18,1,Overly Complicated Games,Overly Complicated Games,windows,0,Single-player;Steam Achievements;Steam Cloud;Stats,Indie;Simulation;Strategy;Early Access,Early Access;Strategy;Indie,21,73,15,0,0,0-20000,19.49
7086,Ember,2016-09-09,1,N-Fusion Interactive,505 Games,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Indie;RPG;Strategy,Adventure;RPG;Indie,22,439,138,0,0,50000-100000,6.99
7087,Ember Kaboom,2016-06-03,1,Josh Koenig (Slashandz),Josh Koenig (Slashandz),windows;mac,0,Single-player;Full controller support,Action;Indie,Action;Indie;Platformer,0,96,16,0,0,20000-50000,2.09
7088,Ember Strike,2016-05-26,1,Reentry Games,Reentry Games,windows,0,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;In-App Purchases,Action;Free to Play;Indie;Early Access,Early Access;Free to Play;Indie,15,833,194,0,0,100000-200000,0.0
7089,Emberdoom,2017-09-26,1,"Loud King Studios, LLC","Loud King Studios, LLC",windows,0,Single-player;Multi-player;Online Multi-Player;Online Co-op,Action;Casual;Indie;RPG;Strategy,Action;RPG;Strategy,0,5,1,0,0,0-20000,6.99
7090,Embers of Magic,2017-04-06,1,Ithaqua Labs,Ithaqua Labs,windows;mac;linux,0,Single-player;Steam Achievements,Action;Adventure;Casual;Free to Play;Indie,Free to Play;Indie;Casual,0,53,13,0,0,0-20000,0.0
7091,Embers of Mirrim,2017-05-23,1,Creative Bytes Studios,Creative Bytes Studios,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Indie,Adventure;Indie;Platformer,50,20,3,0,0,0-20000,15.49
7092,Embrace of Ocean: Story of Hope,2017-08-05,1,Aves Games,Aves Games,windows;mac,0,Single-player,Adventure;Casual,Adventure;Casual;Hidden Object,0,5,2,0,0,0-20000,6.99
7093,Embrace The Fear,2017-01-12,1,世纪龙信息网络有限责任公司,世纪龙信息网络有限责任公司,windows,0,Single-player,Action;Adventure;Simulation,Action;Adventure;Simulation,0,6,2,0,0,0-20000,4.79
7094,Emerald City Confidential™,2009-08-12,1,Wadjet Eye Games,PlayFirst,windows,0,Single-player,Adventure,Adventure;Point & Click;Noir,0,50,3,38,38,0-20000,7.49
7095,Emerald Shores,2018-11-21,1,Fordesoft,Fordesoft,windows;linux,0,Single-player;Steam Achievements;Full controller support,Action;Indie;RPG,Action;RPG;Indie,29,4,0,0,0,0-20000,7.19
7096,EMERGENCY 2,2018-11-28,1,Sixteen Tons Entertainment,Sixteen Tons Entertainment,windows,0,Single-player,Simulation;Strategy,Simulation;Strategy;Violent,0,7,0,0,0,0-20000,6.99
7097,EMERGENCY 20,2017-10-31,1,Sixteen Tons Entertainment,Sixteen Tons Entertainment,windows;mac,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Steam Trading Cards;Includes level editor,Simulation;Strategy,Strategy;Simulation;Multiplayer,72,180,75,1935,1935,0-20000,23.99
7098,Emergency 2014,2013-11-15,1,Sixteen Tons Entertainment,Sixteen Tons Entertainment,windows,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op,Simulation,Simulation;Strategy;RTS,0,122,102,0,0,50000-100000,7.19
7099,EMERGENCY 3,2017-12-19,1,Sixteen Tons Entertainment,Sixteen Tons Entertainment,windows,0,Single-player;Includes level editor,Simulation;Strategy,Simulation;Strategy;RTS,0,31,18,0,0,0-20000,6.99
7100,EMERGENCY 4 Deluxe,2018-04-24,1,Sixteen Tons Entertainment,Sixteen Tons Entertainment,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Includes level editor,Simulation;Strategy,Simulation;Strategy;Mod,0,46,31,0,0,0-20000,13.99
7101,Emergency Robot Simulator,2018-06-10,1,Joystick Knights,Joystick Knights,windows;mac,0,Single-player;Steam Achievements,Action;Indie,Action;Indie;Simulation,11,0,10,0,0,0-20000,3.99
7102,EmergeNYC,2016-11-03,1,FlipSwitch Games,FlipSwitch Games,windows;mac,0,Single-player;Multi-player;Online Multi-Player;Partial Controller Support,Action;Casual;Indie;Racing;RPG;Simulation;Strategy;Early Access,Early Access;Simulation;Action,0,907,429,0,0,20000-50000,26.99
7103,Emerland Solitaire: Endless Journey,2016-07-17,1,Rainbow Games,Rainbow Games,windows,0,Single-player;Steam Trading Cards;In-App Purchases,Casual;Free to Play,Free to Play;Casual;Card Game,0,39,17,0,0,20000-50000,0.0
7104,Emily is Away,2015-11-20,1,Kyle Seeley,Kyle Seeley,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Casual;Free to Play;Indie;Simulation,Free to Play;Story Rich;Singleplayer,20,25981,3340,121,48,1000000-2000000,0.0
7105,Emily is Away Too,2017-05-26,1,Kyle Seeley,Kyle Seeley,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats,Adventure;Casual;Indie;RPG;Simulation,Simulation;Indie;Casual,21,3036,225,530,530,100000-200000,3.99
7106,Emily Wants To Play,2015-12-10,1,Shawn Hitchcock,SKH Apps,windows;mac,0,Single-player;Full controller support,Action;Adventure;Casual;Indie;Simulation;Strategy,Horror;Survival Horror;Indie,0,914,222,36,36,100000-200000,3.99
7107,Emily Wants to Play Too,2017-12-13,1,Shawn Hitchcock,SKH Apps,windows;mac;linux,0,Single-player;Full controller support,Action;Adventure;Indie;Simulation;Strategy,Horror;Indie;Action,14,85,20,0,0,0-20000,5.79
7108,Emily: Displaced,2016-07-26,1,Bossa Studios,SEGA,windows;mac,0,Single-player,Adventure;Indie,Adventure;Indie;Visual Novel,0,5,0,0,0,0-20000,9.99
7109,Emission VR,2016-11-30,1,VRSpec Team,VRSpec Team,windows,0,Single-player;Steam Achievements;Full controller support;Stats,Action;Adventure;Indie,Action;Adventure;Indie,6,2,5,0,0,0-20000,75.99
7110,Emitters,2018-11-04,1,HYTEK94,Emitters,windows,0,Single-player;Online Co-op,Action;Casual,Action;Casual;FPS,0,1,0,0,0,0-20000,4.79
7111,EMMA The Story,2018-05-24,1,Hiver Prod,Plug In Digital;Cinétévé Experience,windows;mac,0,Single-player,Casual;Indie,Indie;Casual;Visual Novel,0,33,2,0,0,0-20000,0.79
7112,Emmerholt: Prologue,2017-02-14,1,Oneiric Entertainment LLC,Oneiric Entertainment LLC,windows,0,Single-player,Action;Adventure;Indie;RPG,Adventure;Action;Indie,0,71,23,0,0,0-20000,0.0
7113,Emoto,2018-09-26,1,"Guangzhou little lamb Animation Technology Co., Ltd.","Guangzhou little lamb Animation Technology Co., Ltd.",windows,0,Steam Workshop;Includes Source SDK,Video Production,Video Production,0,2,3,0,0,0-20000,0.0
7114,Empathy: Path of Whispers,2017-05-16,1,Pixel Night,Iceberg Interactive,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Adventure;Indie,Adventure;Indie;Story Rich,13,57,32,0,0,0-20000,14.99
7115,Emperor Kingdom,2017-02-15,1,Carnivore Games,Carnivore Games,windows,0,Single-player;Steam Trading Cards,Casual;Indie,Indie;Casual,0,1,0,0,0,0-20000,1.99
7116,Empire,2018-07-20,1,Clecota Games,Clecota Games,windows,0,Single-player;Full controller support,Indie;RPG;Strategy,RPG;Indie;Strategy,0,10,1,0,0,0-20000,3.99
7117,Empire Architect,2017-10-06,1,Batholith Entertainment,Batholith Entertainment,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie;RPG;Simulation;Strategy,Simulation;Strategy;City Builder,16,105,50,0,0,0-20000,10.99
7118,Empire Deluxe Combined Edition,2018-06-01,1,Killer Bee Software,Killer Bee Software,windows;mac;linux,0,Single-player;Multi-player,Indie;Strategy,Strategy;Indie;Classic,0,28,4,0,0,0-20000,15.49
7119,Empire of the Fallen Steel,2017-12-18,1,FutureVisionsGames,FutureVisionsGames,windows,0,Single-player,Indie;RPG,RPG;Indie,0,4,2,0,0,0-20000,3.99
7120,Empire of the Gods,2016-01-27,1,Lonely Troops,Lonely Troops,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Casual;Indie;Strategy,Indie;Casual;Strategy,15,31,12,513,513,0-20000,1.59
7121,Empire TV Tycoon,2015-10-20,1,Dreamsite Games,Dreamsite Games,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Stats;Steam Leaderboards,Casual;Indie;Simulation;Strategy,Management;Simulation;Strategy,43,520,169,94,94,50000-100000,6.99
7122,Empires,2017-05-31,1,Interactive Gaming Studios,Interactive Gaming Studios,windows,0,Single-player,Action;Adventure;Early Access,Early Access;Adventure;Action,0,14,11,0,0,0-20000,3.99
7123,Empires Apart,2018-03-29,1,DESTINYbit,Slitherine Ltd.,windows,0,Single-player;Multi-player;Online Multi-Player;Online Co-op;Steam Achievements;Steam Trading Cards;Steam Leaderboards,Free to Play;Strategy,Strategy;RTS;Real Time Tactics,51,636,389,17,30,100000-200000,0.0
7124,Empires Mod,2008-07-28,1,Empires,Empires,windows;linux,0,Multi-player;Cross-Platform Multiplayer;Steam Cloud;Includes level editor;Includes Source SDK,Action;Free to Play;Strategy,Free to Play;Strategy;Action,8,663,115,701,1378,100000-200000,0.0
7125,Empires of the Undergrowth,2017-12-01,1,Slug Disco Studios,Slug Disco Studios,windows;mac;linux,0,Single-player,Indie;Simulation;Strategy;Early Access,Early Access;Strategy;Simulation,0,1117,107,863,863,50000-100000,15.99
7126,Empires:The Rise,2019-01-15,1,阿龟与阿飞,MZ Times,windows,0,Single-player;Multi-player;Online Multi-Player;Online Co-op;Cross-Platform Multiplayer;In-App Purchases,Free to Play;Strategy,Strategy;Free to Play;RTS,0,31,20,0,0,0-20000,0.0
7127,Employee Recycling Center,2017-05-15,1,Idea Cabin,Idea Cabin,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Gore;Adventure;Casual;Indie,Indie;Casual;Adventure,505,25,81,0,0,100000-200000,0.79
7128,Emporea: Realms of War and Magic,2016-06-08,1,Pixel Federation,Pixel Federation,windows;mac,0,Multi-player;MMO;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;In-App Purchases;Stats;Commentary available,Free to Play;Indie;Massively Multiplayer;RPG;Strategy,Free to Play;Strategy;Massively Multiplayer,572,250,148,346,650,100000-200000,0.0
7129,EMPORIUM,2017-05-17,1,Tom Kitchen,Tom Kitchen,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Gore;Adventure;Casual;Indie,Casual;Indie;Adventure,5,79,32,0,0,0-20000,1.59
7130,Empress of Gold,2017-11-28,1,Tobop Productions,Tobop Productions,windows;linux,0,Single-player,Indie;Early Access,Early Access;Indie;Violent,0,3,0,0,0,0-20000,0.79
7131,Empress Of The Deep,2014-05-08,1,Gogii Games,Strategy First,windows,0,Single-player,Adventure,Adventure;Hidden Object;Point & Click,0,67,32,0,0,0-20000,3.99
7132,Empress Of The Deep 2: Song Of The Blue Whale,2014-05-08,1,Gogii Games,Strategy First,windows,0,Single-player,Adventure,Adventure;Hidden Object;Casual,0,53,12,0,0,0-20000,3.99
7133,Empty Handed,2017-10-05,1,Stay Awake Games,Stay Awake Games,windows,0,Single-player,Violent;Gore;Adventure;Indie;RPG,Adventure;RPG;Indie,0,1,0,0,0,0-20000,2.89
7134,Empty Horizons,2016-07-19,1,ebi-hime,ebi-hime,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards,Indie;Simulation,Indie;Simulation;Visual Novel,13,57,8,0,0,0-20000,1.99
7135,Empty Soul - S&S Edition,2016-06-30,1,ClorithStudio,ClorithStudio,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action;Adventure;Indie;RPG,Action;RPG;Indie,50,15,2,0,0,0-20000,4.99
7136,Empty Town,2018-06-04,1,Wanin International,Wanin International,windows,0,Single-player;Steam Achievements;Stats,Violent;Gore;Action;Adventure,Action;Adventure;Gore,8,12,2,0,0,0-20000,10.99
7137,EMPYRE: Lords of the Sea Gates,2017-10-04,1,Coin Operated Games,Coin Operated Games;Work Shift Play Inc.,windows,0,Single-player,RPG,RPG;Steampunk;Alternate History,66,6,2,0,0,0-20000,22.99
7138,Empyrean,2016-12-01,1,Choice of Games,Choice of Games,windows;mac;linux,0,Single-player;Steam Achievements;Captions available;Steam Cloud,Adventure;Indie;RPG,Indie;Adventure;RPG,23,9,3,0,0,0-20000,4.79
7139,Empyrean Frontier,2018-08-31,1,Galdor Studios,Galdor Studios,windows,0,Single-player;Steam Achievements,Action;Indie;Strategy,Strategy;Action;Indie,22,6,2,0,0,0-20000,9.29
7140,Empyrion - Galactic Survival,2015-08-05,1,Eleon Game Studios,Eleon Game Studios,windows,0,Single-player;Multi-player;Co-op;Steam Workshop;Partial Controller Support,Adventure;Indie;Simulation;Strategy;Early Access,Early Access;Survival;Open World,0,11061,2777,495,739,500000-1000000,14.99
7141,En Tactico,2018-04-10,1,LillyWelland inc.,Bitlock Studio,windows,0,Single-player,Casual;Indie;Strategy,Casual;Strategy;Indie,0,5,6,0,0,0-20000,1.69
7142,Enceladus,2017-11-01,1,Storybird;Julien Rocca,Look At My Game;Plug In Digital,windows,0,Single-player,Action;Indie,Indie;Action;Shoot 'Em Up,0,1,0,0,0,0-20000,7.19
7143,Enchanted Path,2018-12-28,1,Tuwi Michael Nannings,NanningsGames,windows,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Casual;Indie;Strategy,Casual;Indie;Puzzle,30,8,3,0,0,0-20000,1.69
7144,EnchantedGirl - 纯情房东俏房客,2019-02-04,0,Shenzhen zhengyilong technology co. LTD.,Shenzhen zhengyilong technology co. LTD.,windows;mac,0,Single-player,Adventure;Casual;RPG;Simulation,Adventure;Casual;RPG,0,6,14,0,0,0-20000,12.39
7145,Enclave,2013-10-04,1,Starbreeze,Topware Interactive,windows;mac;linux,0,Single-player;Steam Trading Cards;Steam Cloud,RPG,RPG;Action;Third Person,0,4076,1139,213,227,1000000-2000000,3.99
7146,Encounter of Galaxies,2017-04-17,1,Obi-Wanya,Obi-Wanya,windows,0,Single-player;Steam Achievements,Action;Indie,Action;Indie,7,0,4,0,0,0-20000,1.59
7147,End of Days,2017-09-27,1,Life Art Studios,Life Art Studios,windows,0,Single-player,Early Access,Early Access;Violent;VR,0,6,1,0,0,0-20000,7.19
7148,End Of The Mine,2016-10-28,1,Skirmish Entertainment,Skirmish Entertainment,windows;mac,0,Single-player;Full controller support,Action;Adventure;Indie,Action;Indie;Adventure,62,6,5,0,0,0-20000,0.79
7149,End of the Road VR,2017-06-29,1,Barracuda Disaster,Barracuda Disaster,windows,0,Single-player,Gore;Adventure;Indie;Simulation,Adventure;Indie;Gore,0,2,2,0,0,0-20000,1.69
7150,End Space,2018-03-29,1,Orange Bridge Studios,Orange Bridge Studios,windows,0,Single-player;Steam Achievements;Full controller support,Action;Indie;Simulation,Simulation;Action;Indie,12,40,16,0,0,0-20000,15.49
7151,End War RTS,2018-07-31,1,Auraro,Auraro,windows,0,Single-player;Multi-player;Local Multi-Player;Co-op;Local Co-op,Casual;Indie;Simulation;Strategy,Strategy;Casual;Simulation,0,9,4,0,0,0-20000,5.79
7152,Endangered,2019-01-10,1,"Strawberry Game Studios, LLC","Strawberry Game Studios, LLC",windows,0,Single-player;Multi-player;Online Multi-Player;Partial Controller Support,Action;Adventure;Strategy,Action;Violent;Strategy,0,7,8,308,308,50000-100000,0.79
7153,Endciv,2016-04-21,1,Crowbox,Crowbox,windows,0,Single-player,Indie;Simulation;Strategy;Early Access,Early Access;Simulation;Strategy,0,33,33,0,0,0-20000,12.99
7154,EndCycle VS,2019-01-01,1,12B3,12B3,windows,0,Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Full controller support,Action;Indie;Early Access,Early Access;Action;Indie,0,14,0,0,0,0-20000,7.99
7155,Endersite,2018-05-25,1,KadenDS,KadenDS,windows,0,Local Multi-Player;Partial Controller Support,Action;Casual;Free to Play;Indie;Massively Multiplayer,Action;Free to Play;Indie,0,14,14,0,0,0-20000,0.0
7156,Endhall,2018-12-04,1,HeartBeast Studios L.L.C.,HeartBeast Studios L.L.C.,windows;mac;linux,0,Single-player,Indie;Strategy,Indie;Strategy;Turn-Based,0,53,9,0,0,0-20000,2.09
7157,Endica VII The Dream King,2016-01-13,1,Dream Within,Dream Within,windows,0,Single-player;Local Multi-Player;Local Co-op;Shared/Split Screen;Full controller support,Action;Adventure;Casual;Indie;RPG,Action;Adventure;Indie,0,21,26,0,0,0-20000,3.99
7158,Endless ATC,2017-07-19,1,startgrid,startgrid,windows,0,Single-player;Steam Achievements,Casual;Indie;Simulation,Indie;Simulation;Casual,8,44,4,0,0,0-20000,2.99
7159,Endless Battle,2019-01-02,1,Netdragon Websoft Inc,Netdragon Websoft Inc,windows,0,Multi-player;Online Multi-Player;In-App Purchases,Action;Casual;Free to Play;Massively Multiplayer,Free to Play;Action;Massively Multiplayer,0,153,154,0,0,50000-100000,0.0
7160,Endless Burst,2016-07-25,1,Neon Squid Games,Neon Squid Games,windows,0,Single-player;Steam Achievements;Steam Cloud,Action;Indie,Action;Indie;Shoot 'Em Up,17,1,3,0,0,0-20000,3.99
7161,Endless Combat,2017-11-12,1,Fatalitech,Fatalitech,windows,0,Multi-player;Online Multi-Player;Steam Achievements,Action;Casual;Indie;Early Access,Early Access;Indie;Casual,9,40,15,0,0,0-20000,3.99
7162,Endless Crusade,2018-05-03,1,"Beijing Omnicity Technology Co., Ltd.","Beijing Omnicity Technology Co., Ltd.",windows,12,Single-player,Action;Adventure;Indie;RPG;Early Access,Early Access;Adventure;Action,0,3,5,0,0,0-20000,3.99
7163,Endless Fables 2: Frozen Path,2017-11-16,1,Sunward Games,Artifex Mundi,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Casual,Adventure;Casual;Hidden Object,28,34,5,0,0,0-20000,11.39
7164,Endless Fables 3: Dark Moor,2018-07-19,1,Sunward Games,Artifex Mundi,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Casual,Casual;Adventure;Hidden Object,31,18,5,0,0,0-20000,11.39
7165,Endless Fables: The Minotaur's Curse,2016-12-15,1,Sunward Games,Artifex Mundi,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Casual,Adventure;Casual;Hidden Object,33,94,9,0,0,20000-50000,6.99
7166,Endless Fun The battle for peanuts,2018-05-31,1,hallunazigames,hallunazigames,windows,0,Single-player,Action;Adventure;Casual,Action;Adventure;Casual,0,6,19,0,0,0-20000,0.79
7167,Endless Inside,2017-12-22,1,heavenly-roads,heavenly-roads,windows,0,Single-player;Steam Workshop,Violent;Action;Indie;Simulation,Indie;Action;Simulation,0,15,5,0,0,0-20000,5.79
